А	а 
хыпса	х ы п с а 
хысна	х ы с н а 
хытах	х ы т а х 
хӑвӑр	х ӑ в ӑ р 
хӑйех	х ӑ й е х 
хӑйне	х ӑ й н е 
хӑйпе	х ӑ й п е 
хӑйӑр	х ӑ й ӑ р 
хӑйӗн	х ӑ й ӗ н 
хӑлха	х ӑ л х а 
хӑмла	х ӑ м л а 
хӑмӑр	х ӑ м ӑ р 
хӑрӑк	х ӑ р ӑ к 
хӑтлӑ	х ӑ т л ӑ 
хӑшне	х ӑ ш н е 
хӑҫан	х ӑ ҫ а н 
хӗвел	х ӗ в е л 
хӗлле	х ӗ л л е 
хӗлне	х ӗ л н е 
хӗрлӗ	х ӗ р л ӗ 
хӗрсе	х ӗ р с е 
хӗсни	х ӗ с н и 
хӗснӗ	х ӗ с н ӗ 
хӗссе	х ӗ с с е 
центр	ц е н т р 
чавнӑ	ч а в н ӑ 
чакнӑ	ч а к н ӑ 
чаплӑ	ч а п л ӑ 
чарнӑ	ч а р н ӑ 
чарса	ч а р с а 
часах	ч а с а х 
черет	ч е р е т 
чечек	ч е ч е к 
чикнӗ	ч и к н ӗ 
чиркӳ	ч и р к ӳ 
чирлӗ	ч и р л ӗ 
чирне	ч и р н е 
чуваш	ч у в а ш 
чукун	ч у к у н 
чулне	ч у л н е 
чунлӑ	ч у н л ӑ 
чунӑн	ч у н ӑ н 
чутах	ч у т а х 
чухлӗ	ч у х л ӗ 
чухне	ч у х н е 
чылай	ч ы л а й 
чысне	ч ы с н е 
чӑваш	ч ӑ в а ш 
чӑнах	ч ӑ н а х 
чӑтма	ч ӑ т м а 
чӑтса	ч ӑ т с а 
чӗлхе	ч ӗ л х е 
чӗлхи	ч ӗ л х и 
чӗнес	ч ӗ н е с 
чӗннӗ	ч ӗ н н ӗ 
чӗнсе	ч ӗ н с е 
чӗнӗҫ	ч ӗ н ӗ ҫ 
чӗрӗк	ч ӗ р ӗ к 
чӳкӗн	ч ӳ к ӗ н 
шайне	ш а й н е 
шайра	ш а й р а 
шайри	ш а й р и 
шакла	ш а к л а 
шалта	ш а л т а 
шалти	ш а л т и 
шанас	ш а н а с 
шанни	ш а н н и 
шаннӑ	ш а н н ӑ 
шанса	ш а н с а 
шанӑҫ	ш а н ӑ ҫ 
шаран	ш а р а н 
шкула	ш к у л а 
шкулӗ	ш к у л ӗ 
штраф	ш т р а ф 
шутне	ш у т н е 
шутра	ш у т р а 
шухӑш	ш у х ӑ ш 
шывне	ш ы в н е 
шывра	ш ы в р а 
шырав	ш ы р а в 
шыҫҫа	ш ы ҫ ҫ а 
шӑлне	ш ӑ л н е 
шӑлӗн	ш ӑ л ӗ н 
шӑпах	ш ӑ п а х 
шӑрши	ш ӑ р ш и 
шӑтӑк	ш ӑ т ӑ к 
шӗвек	ш ӗ в е к 
ывӑлӗ	ы в ӑ л ӗ 
ыйтас	ы й т а с 
ыйтнӑ	ы й т н ӑ 
ыйтрӗ	ы й т р ӗ 
ыйтса	ы й т с а 
ыйтӑм	ы й т ӑ м 
ылтӑн	ы л т ӑ н 
ырӑпа	ы р ӑ п а 
эвенк	э в е н к 
экран	э к р а н 
эрешӗ	э р е ш ӗ 
эрмен	э р м е н 
этеме	э т е м е 
этика	э т и к а 
этнос	э т н о с 
эфира	э ф и р а 
юлать	ю л а т ь 
юрату	ю р а т у 
юрать	ю р а т ь 
юрист	ю р и с т 
юрӑпа	ю р ӑ п а 
юсама	ю с а м а 
юсанӑ	ю с а н ӑ 
ютран	ю т р а н 
яврӗҫ	я в р ӗ ҫ 
языка	я з ы к а 
языке	я з ы к е 
япала	я п а л а 
ярать	я р а т ь 
ярсан	я р с а н 
ярӑмӗ	я р ӑ м ӗ 
ятран	я т р а н 
ятшӑн	я т ш ӑ н 
ячӗпе	я ч ӗ п е 
яшсем	я ш с е м 
Ҫавал	ҫ а в а л 
Ҫавна	ҫ а в н а 
Ҫавра	ҫ а в р а 
Ҫавӑн	ҫ а в ӑ н 
Ҫакна	ҫ а к н а 
Ҫакӑн	ҫ а к ӑ н 
Ҫапах	ҫ а п а х 
Ҫапла	ҫ а п л а 
Ҫемье	ҫ е м ь е 
Ҫитес	ҫ и т е с 
Ҫиччӗ	ҫ и ч ч ӗ 
Ҫумра	ҫ у м р а 
Ҫурла	ҫ у р л а 
Ҫурта	ҫ у р т а 
Ҫурхи	ҫ у р х и 
Ҫынна	ҫ ы н н а 
Ҫырма	ҫ ы р м а 
ҪҪХПИ	ҫ ҫ х п и 
ҪҪХПи	ҫ ҫ х п и 
Ҫӑкӑр	ҫ ӑ к ӑ р 
Ҫӗнни	ҫ ӗ н н и 
Ҫӗпӗр	ҫ ӗ п ӗ р 
Ҫӗрпӳ	ҫ ӗ р п ӳ 
ҫавна	ҫ а в н а 
ҫавра	ҫ а в р а 
ҫавӑн	ҫ а в ӑ н 
ҫакна	ҫ а к н а 
ҫакӑн	ҫ а к ӑ н 
ҫапла	ҫ а п л а 
ҫарне	ҫ а р н е 
ҫемйи	ҫ е м й и 
ҫемье	ҫ е м ь е 
ҫивӗт	ҫ и в ӗ т 
ҫивӗч	ҫ и в ӗ ч 
ҫиеле	ҫ и е л е 
ҫимӗҫ	ҫ и м ӗ ҫ 
ҫинче	ҫ и н ч е 
ҫинчи	ҫ и н ч и 
ҫирӗм	ҫ и р ӗ м 
ҫирӗп	ҫ и р ӗ п 
ҫитес	ҫ и т е с 
ҫитет	ҫ и т е т 
ҫитме	ҫ и т м е 
ҫитни	ҫ и т н и 
ҫитнӗ	ҫ и т н ӗ 
ҫитрӗ	ҫ и т р ӗ 
ҫитсе	ҫ и т с е 
ҫитӗҫ	ҫ и т ӗ ҫ 
ҫукки	ҫ у к к и 
ҫукпа	ҫ у к п а 
ҫулах	ҫ у л а х 
ҫулла	ҫ у л л а 
ҫулне	ҫ у л н е 
ҫулпа	ҫ у л п а 
ҫулта	ҫ у л т а 
ҫулти	ҫ у л т и 
ҫулхи	ҫ у л х и 
ҫулӑм	ҫ у л ӑ м 
ҫулӑн	ҫ у л ӑ н 
ҫумне	ҫ у м н е 
ҫумра	ҫ у м р а 
ҫумӑн	ҫ у м ӑ н 
ҫумӑр	ҫ у м ӑ р 
ҫумӗн	ҫ у м ӗ н 
ҫуннӑ	ҫ у н н ӑ 
ҫунса	ҫ у н с а 
ҫуран	ҫ у р а н 
ҫурла	ҫ у р л а 
ҫурри	ҫ у р р и 
ҫурта	ҫ у р т а 
ҫурчӗ	ҫ у р ч ӗ 
ҫутта	ҫ у т т а 
ҫутӗҫ	ҫ у т ӗ ҫ 
ҫывӑх	ҫ ы в ӑ х 
ҫынна	ҫ ы н н а 
ҫынни	ҫ ы н н и 
ҫынпа	ҫ ы н п а 
ҫырав	ҫ ы р а в 
ҫыран	ҫ ы р а н 
ҫырас	ҫ ы р а с 
ҫырли	ҫ ы р л и 
ҫырма	ҫ ы р м а 
ҫырнӑ	ҫ ы р н ӑ 
ҫырса	ҫ ы р с а 
ҫырчӗ	ҫ ы р ч ӗ 
ҫӑкӑр	ҫ ӑ к ӑ р 
ҫӑлра	ҫ ӑ л р а 
ҫӑлти	ҫ ӑ л т и 
ҫӑмӑл	ҫ ӑ м ӑ л 
ҫӑрса	ҫ ӑ р с а 
ҫӑхав	ҫ ӑ х а в 
ҫӗнсе	ҫ ӗ н с е 
ҫӗрле	ҫ ӗ р л е 
ҫӗрпе	ҫ ӗ р п е 
ҫӗрте	ҫ ӗ р т е 
ҫӗрти	ҫ ӗ р т и 
ҫӗрӗн	ҫ ӗ р ӗ н 
ҫӗтнӗ	ҫ ӗ т н ӗ 
ҫӳллӗ	ҫ ӳ л л ӗ 
ҫӳлти	ҫ ӳ л т и 
ҫӳрен	ҫ ӳ р е н 
ҫӳрет	ҫ ӳ р е т 
ҫӳрӗҫ	ҫ ӳ р ӗ ҫ 
ҫӳҫлӗ	ҫ ӳ ҫ л ӗ 
ҫӳҫне	ҫ ӳ ҫ н е 
Ӑслав	ӑ с л а в 
ӑнлав	ӑ н л а в 
ӑнӑҫу	ӑ н ӑ ҫ у 
ӑрури	ӑ р у р и 
ӑрӑва	ӑ р ӑ в а 
ӑслав	ӑ с л а в 
ӑсчах	ӑ с ч а х 
ӑшшин	ӑ ш ш и н 
ӑшшӑн	ӑ ш ш ӑ н 
ӑшӑтӗ	ӑ ш ӑ т ӗ 
Ӗненӳ	ӗ н е н ӳ 
Ӗҫлев	ӗ ҫ л е в 
ӗҫлев	ӗ ҫ л е в 
ӗҫлет	ӗ ҫ л е т 
ӗҫлӗҫ	ӗ ҫ л ӗ ҫ 
ӗҫрен	ӗ ҫ р е н 
ӗҫсем	ӗ ҫ с е м 
ӗҫсен	ӗ ҫ с е н 
ӗҫсӗр	ӗ ҫ с ӗ р 
ӗҫчен	ӗ ҫ ч е н 
ӗҫшӗн	ӗ ҫ ш ӗ н 
ӗҫӗпе	ӗ ҫ ӗ п е 
ӳнерӗ	ӳ н е р ӗ 
ӳсчӗр	ӳ с ч ӗ р 
ӳсӗмӗ	ӳ с ӗ м ӗ 
АССРӗн	а с с р ӗ н 
Акатуй	а к а т у й 
Альтук	а л ь т у к 
Амӑшӗн	а м ӑ ш ӗ н 
Андрей	а н д р е й 
Аннӑна	а н н ӑ н а 
Антуан	а н т у а н 
Аньхой	а н ь х о й 
Аньцин	а н ь ц и н 
Асӑннӑ	а с ӑ н н ӑ 
Атӑлҫи	а т ӑ л ҫ и 
Ачакра	а ч а к р а 
Ачасем	а ч а с е м 
Ачасен	а ч а с е н 
Ачисем	а ч и с е м 
Ашшӗпе	а ш ш ӗ п е 
Аякран	а я к р а н 
Бабайӗ	б а б а й ӗ 
Бакаев	б а к а е в 
Берлин	б е р л и н 
Беслан	б е с л а н 
Борлен	б о р л е н 
Бузова	б у з о в а 
Ваккат	в а к к а т 
Валери	в а л е р и 
Вахтин	в а х т и н 
Вердин	в е р д и н 
Вещани	в е щ а н и 
Виктор	в и к т о р 
Вилнин	в и л н и н 
Витене	в и т е н е 
Волков	в о л к о в 
Вуланӑ	в у л а н ӑ 
Выльӑх	в ы л ь ӑ х 
Вырӑна	в ы р ӑ н а 
Вӑраха	в ӑ р а х а 
Вӑрман	в ӑ р м а н 
Вӑрмар	в ӑ р м а р 
Вӑрнар	в ӑ р н а р 
Вӗренӳ	в ӗ р е н ӳ 
Вӗсене	в ӗ с е н е 
Галина	г а л и н а 
Глинка	г л и н к а 
Глухов	г л у х о в 
Гречко	г р е ч к о 
Грузие	г р у з и е 
Добрая	д о б р а я 
Добрый	д о б р ы й 
Думипе	д у м и п е 
Дуррес	д у р р е с 
Дьячук	д ь я ч у к 
Евграф	е в г р а ф 
Еврази	е в р а з и 
Европа	е в р о п а 
Егоров	е г о р о в 
Елкӑри	е л к ӑ р и 
Енилин	е н и л и н 
Енисей	е н и с е й 
Енисея	е н и с е я 
Епархи	е п а р х и 
Ертӳҫи	е р т ӳ ҫ и 
Ертӳҫӗ	е р т ӳ ҫ ӗ 
Етӗрне	е т ӗ р н е 
Жамбал	ж а м б а л 
Живоев	ж и в о е в 
Журков	ж у р к о в 
ЗАГСра	з а г с р а 
Знание	з н а н и е 
Зотова	з о т о в а 
Иванов	и в а н о в 
Ижевск	и ж е в с к 
Иккӗшӗ	и к к ӗ ш ӗ 
Ильича	и л ь и ч а 
Индири	и н д и р и 
Информ	и н ф о р м 
Иоаким	и о а к и м 
Истори	и с т о р и 
Йошкар	й о ш к а р 
Йӑлана	й ӑ л а н а 
Йӑлари	й ӑ л а р и 
Йӗпреҫ	й ӗ п р е ҫ 
КПРФӑн	к п р ф ӑ н 
Кавказ	к а в к а з 
Кайран	к а й р а н 
Каласа	к а л а с а 
Каллех	к а л л е х 
Калмӑк	к а л м ӑ к 
Камеди	к а м е д и 
Канашӗ	к а н а ш ӗ 
Канвал	к а н в а л 
Кермен	к е р м е н 
Килмен	к и л м е н 
Килтен	к и л т е н 
Космос	к о с м о с 
Кремль	к р е м л ь 
Крымра	к р ы м р а 
Ксения	к с е н и я 
Кугыза	к у г ы з а 
Кузьма	к у з ь м а 
Кукӑса	к у к ӑ с а 
Кунсӑр	к у н с ӑ р 
Кунтах	к у н т а х 
Куншӑн	к у н ш ӑ н 
Курава	к у р а в а 
Кушева	к у ш е в а 
Куҫару	к у ҫ а р у 
Кӑнтӑр	к ӑ н т ӑ р 
Кӗнеке	к ӗ н е к е 
Лакрей	л а к р е й 
Лаптӑк	л а п т ӑ к 
Лариса	л а р и с а 
Ларура	л а р у р а 
Ларӑва	л а р ӑ в а 
Леонид	л е о н и д 
Липово	л и п о в о 
Лирник	л и р н и к 
Лукова	л у к о в а 
Магнит	м а г н и т 
Мадура	м а д у р а 
Максим	м а к с и м 
Малтан	м а л т а н 
Манран	м а н р а н 
Марина	м а р и н а 
Мархви	м а р х в и 
Матвей	м а т в е й 
Маттур	м а т т у р 
Мешков	м е ш к о в 
Митинг	м и т и н г 
Михаил	м и х а и л 
Мораль	м о р а л ь 
Морозӗ	м о р о з ӗ 
Музыка	м у з ы к а 
Мултан	м у л т а н 
Муркаш	м у р к а ш 
Мускав	м у с к а в 
Мучийӗ	м у ч и й ӗ 
Мучипе	м у ч и п е 
Мӗншӗн	м ӗ н ш ӗ н 
Нарспи	н а р с п и 
Никита	н и к и т а 
Нимене	н и м е н е 
Нумаях	н у м а я х 
Оксана	о к с а н а 
Онегин	о н е г и н 
Оринин	о р и н и н 
Оринов	о р и н о в 
Осипов	о с и п о в 
Павлов	п а в л о в 
Паллах	п а л л а х 
Палӑка	п а л ӑ к а 
Панова	п а н о в а 
Паркра	п а р к р а 
Паркри	п а р к р и 
Парӑма	п а р ӑ м а 
Патрик	п а т р и к 
Паянхи	п а я н х и 
Паятан	п а я т а н 
Петров	п е т р о в 
Пикета	п и к е т а 
Питӗре	п и т ӗ р е 
Планпа	п л а н п а 
Полина	п о л и н а 
Полици	п о л и ц и 
Помост	п о м о с т 
Правда	п р а в д а 
Праски	п р а с к и 
Пукрав	п у к р а в 
Путене	п у т е н е 
Пухура	п у х у р а 
Пуҫиле	п у ҫ и л е 
Пӑлхар	п ӑ л х а р 
Пӑрӑхӗ	п ӑ р ӑ х ӗ 
Пӗлтӗр	п ӗ л т ӗ р 
Пӗччен	п ӗ ч ч е н 
Радуга	р а д у г а 
Рамзан	р а м з а н 
Раштав	р а ш т а в 
Раҫҫей	р а ҫ ҫ е й 
Реалии	р е а л и и 
Рекеев	р е к е е в 
Роберт	р о б е р т 
Робота	р о б о т а 
Романа	р о м а н а 
России	р о с с и и 
Россия	р о с с и я 
Ростех	р о с т е х 
Рязань	р я з а н ь 
СССРти	с с с р т и 
Саккун	с а к к у н 
Самана	с а м а н а 
Сарӑту	с а р ӑ т у 
Сергей	с е р г е й 
Сергея	с е р г е я 
Сессие	с е с с и е 
Сирире	с и р и р е 
Служба	с л у ж б а 
Смычка	с м ы ч к а 
Сочире	с о ч и р е 
Сочири	с о ч и р и 
Союзӗн	с о ю з ӗ н 
Статья	с т а т ь я 
Степан	с т е п а н 
Страна	с т р а н а 
Сургут	с у р г у т 
Сутуҫӑ	с у т у ҫ ӑ 
Сывлӑх	с ы в л ӑ х 
Сывлӑш	с ы в л ӑ ш 
Сӗнтер	с ӗ н т е р 
Сӗнтӗр	с ӗ н т ӗ р 
Тамара	т а м а р а 
Тимӗрӗ	т и м ӗ р ӗ 
Тишков	т и ш к о в 
Трачук	т р а ч у к 
Тулӑри	т у л ӑ р и 
Тупӑшу	т у п ӑ ш у 
Туризм	т у р и з м 
Туркай	т у р к а й 
Туслӑх	т у с л ӑ х 
Туссем	т у с с е м 
Тӑватӑ	т ӑ в а т ӑ 
Тӗпрен	т ӗ п р е н 
Тӗрӗпе	т ӗ р ӗ п е 
Тӳрере	т ӳ р е р е 
УОЧНКА	у о ч н к а 
Удмурт	у д м у р т 
Уйӑрнӑ	у й ӑ р н ӑ 
Укҫана	у к ҫ а н а 
Укӑлча	у к ӑ л ч а 
Улатӑр	у л а т ӑ р 
Унччен	у н ч ч е н 
Финала	ф и н а л а 
Финанс	ф и н а н с 
Фошина	ф о ш и н а 
Хальхи	х а л ь х и 
Халӑха	х а л ӑ х а 
Хулана	х у л а н а 
Хулара	х у л а р а 
Хулари	х у л а р и 
Хуралӗ	х у р а л ӗ 
Хутара	х у т а р а 
Хушӑва	х у ш ӑ в а 
Хыпара	х ы п а р а 
Хӑйсем	х ӑ й с е м 
Хӑйсен	х ӑ й с е н 
ЧНКана	ч н к а н а 
ЧППУра	ч п п у р а 
Чапаев	ч а п а е в 
Черчен	ч е р ч е н 
Чистый	ч и с т ы й 
Чуваши	ч у в а ш и 
Чӑваша	ч ӑ в а ш а 
Чӗмпӗр	ч ӗ м п ӗ р 
Чӗрепе	ч ӗ р е п е 
Шахмат	ш а х м а т 
Шашкар	ш а ш к а р 
Швецин	ш в е ц и н 
Ширшов	ш и р ш о в 
Шкулта	ш к у л т а 
Шкулти	ш к у л т и 
Шмелев	ш м е л е в 
Шӑхаль	ш ӑ х а л ь 
Ыйтӑва	ы й т ӑ в а 
Эдуард	э д у а р д 
Элиста	э л и с т а 
Элӗкри	э л ӗ к р и 
Эревет	э р е в е т 
Юбилей	ю б и л е й 
Юлашки	ю л а ш к и 
Юнашар	ю н а ш а р 
Юраман	ю р а м а н 
Юратнӑ	ю р а т н ӑ 
Юрийпе	ю р и й п е 
Яваплӑ	я в а п л ӑ 
Якшама	я к ш а м а 
Яманак	я м а н а к 
Янкӑлч	я н к ӑ л ч 
авторӗ	а в т о р ӗ 
авӑнӑн	а в ӑ н ӑ н 
адресӗ	а д р е с ӗ 
айӑплӑ	а й ӑ п л ӑ 
айӑпне	а й ӑ п н е 
айӑпӗн	а й ӑ п ӗ н 
айӗнче	а й ӗ н ч е 
акцийӗ	а к ц и й ӗ 
алкана	а л к а н а 
алӑллӑ	а л ӑ л л ӑ 
алӗҫне	а л ӗ ҫ н е 
аммиак	а м м и а к 
амӑшне	а м ӑ ш н е 
амӑшӗн	а м ӑ ш ӗ н 
антӑха	а н т ӑ х а 
апатне	а п а т н е 
апачӗн	а п а ч ӗ н 
артист	а р т и с т 
архивӗ	а р х и в ӗ 
аршипе	а р ш и п е 
арҫына	а р ҫ ы н а 
арӑмӗн	а р ӑ м ӗ н 
асамлӑ	а с а м л ӑ 
асӑннӑ	а с ӑ н н ӑ 
асӑнса	а с ӑ н с а 
асӗнче	а с ӗ н ч е 
ачаллӑ	а ч а л л ӑ 
ачалӑх	а ч а л ӑ х 
ачасем	а ч а с е м 
ачасен	а ч а с е н 
ачисем	а ч и с е м 
ашшӗне	а ш ш ӗ н е 
ашӑрах	а ш ӑ р а х 
аякран	а я к р а н 
балран	б а л р а н 
бензин	б е н з и н 
братья	б р а т ь я 
бюджет	б ю д ж е т 
ваккат	в а к к а т 
ваккӑн	в а к к ӑ н 
васкӑр	в а с к ӑ р 
ватать	в а т а т ь 
ватӑна	в а т ӑ н а 
версие	в е р с и е 
вечера	в е ч е р а 
взятка	в з я т к а 
виллин	в и л л и н 
витӗмӗ	в и т ӗ м ӗ 
виҫене	в и ҫ е н е 
виҫепе	в и ҫ е п е 
виҫере	в и ҫ е р е 
виҫине	в и ҫ и н е 
виҫшер	в и ҫ ш е р 
виҫҫӗн	в и ҫ ҫ ӗ н 
власть	в л а с т ь 
влаҫра	в л а ҫ р а 
вокзал	в о к з а л 
вулама	в у л а м а 
вуланӑ	в у л а н ӑ 
вуласа	в у л а с а 
выльӑх	в ы л ь ӑ х 
выляма	в ы л я м а 
вылянӑ	в ы л я н ӑ 
выляса	в ы л я с а 
вылять	в ы л я т ь 
выртма	в ы р т м а 
выртнӑ	в ы р т н ӑ 
вырӑна	в ы р ӑ н а 
вырӑнӗ	в ы р ӑ н ӗ 
вӑраха	в ӑ р а х а 
вӑрҫин	в ӑ р ҫ и н 
вӑхӑта	в ӑ х ӑ т а 
вӑхӑчӗ	в ӑ х ӑ ч ӗ 
вӗренӳ	в ӗ р е н ӳ 
вӗсене	в ӗ с е н е 
гаража	г а р а ж а 
гектар	г е к т а р 
градус	г р а д у с 
депона	д е п о н а 
диалог	д и а л о г 
диплом	д и п л о м 
доктор	д о к т о р 
долган	д о л г а н 
допинг	д о п и н г 
дороги	д о р о г и 
дотаци	д о т а ц и 
другие	д р у г и е 
дружбы	д р у ж б ы 
евӗрех	е в ӗ р е х 
единая	е д и н а я 
ейӳрен	е й ӳ р е н 
елкине	е л к и н е 
ентеше	е н т е ш е 
ентешӗ	е н т е ш ӗ 
енӗнчи	е н ӗ н ч и 
еркӗнӗ	е р к ӗ н ӗ 
ертӳҫи	е р т ӳ ҫ и 
заняти	з а н я т и 
защиты	з а щ и т ы 
заявка	з а я в к а 
зверей	з в е р е й 
знакӗн	з н а к ӗ н 
иккӗшӗ	и к к ӗ ш ӗ 
илейнӗ	и л е й н ӗ 
илемлӗ	и л е м л ӗ 
илесси	и л е с с и 
илетӗп	и л е т ӗ п 
илеҫҫӗ	и л е ҫ ҫ ӗ 
илнине	и л н и н е 
илтмен	и л т м е н 
илӗпӗр	и л ӗ п ӗ р 
импери	и м п е р и 
инкеке	и н к е к е 
иртмен	и р т м е н 
иртнин	и р т н и н 
иртрӗҫ	и р т р ӗ ҫ 
иртсен	и р т с е н 
ирхине	и р х и н е 
ирӗклӗ	и р ӗ к л ӗ 
ирӗкне	и р ӗ к н е 
ирӗкпе	и р ӗ к п е 
ирӗлет	и р ӗ л е т 
истори	и с т о р и 
итленӗ	и т л е н ӗ 
ишӗлсе	и ш ӗ л с е 
йывӑҫа	й ы в ӑ ҫ а 
йышлӑн	й ы ш л ӑ н 
йышран	й ы ш р а н 
йышӑну	й ы ш ӑ н у 
йӑлана	й ӑ л а н а 
йӑлари	й ӑ л а р и 
йӑлтах	й ӑ л т а х 
йӗрсем	й ӗ р с е м 
йӗрӗпе	й ӗ р ӗ п е 
кайман	к а й м а н 
кайран	к а й р а н 
кайрӗҫ	к а й р ӗ ҫ 
кайсан	к а й с а н 
кайсах	к а й с а х 
калавӗ	к а л а в ӗ 
калама	к а л а м а 
калани	к а л а н и 
каланӑ	к а л а н ӑ 
каларӗ	к а л а р ӗ 
каласа	к а л а с а 
калать	к а л а т ь 
калаҫу	к а л а ҫ у 
каллех	к а л л е х 
калпак	к а л п а к 
канашӗ	к а н а ш ӗ 
кансӗр	к а н с ӗ р 
кантӑк	к а н т ӑ к 
канӑва	к а н ӑ в а 
картти	к а р т т и 
карттӑ	к а р т т ӑ 
катерӗ	к а т е р ӗ 
кашкӑр	к а ш к ӑ р 
кашнин	к а ш н и н 
каякан	к а я к а н 
каялла	к а я л л а 
каялли	к а я л л и 
каярах	к а я р а х 
каясса	к а я с с а 
каясси	к а я с с и 
каятӑп	к а я т ӑ п 
каяччӑ	к а я ч ч ӑ 
каяҫҫӗ	к а я ҫ ҫ ӗ 
каҫару	к а ҫ а р у 
каҫать	к а ҫ а т ь 
каҫӑпа	к а ҫ ӑ п а 
кермен	к е р м е н 
килмен	к и л м е н 
килсен	к и л с е н 
килсӗр	к и л с ӗ р 
килтен	к и л т е н 
килӗшӳ	к и л ӗ ш ӳ 
киноне	к и н о н е 
кинопа	к и н о п а 
кирпӗч	к и р п ӗ ч 
класлӑ	к л а с л ӑ 
класра	к л а с р а 
клубра	к л у б р а 
колони	к о л о н и 
колхоз	к о л х о з 
копийӗ	к о п и й ӗ 
корпус	к о р п у с 
крайне	к р а й н е 
критик	к р и т и к 
кролик	к р о л и к 
куллен	к у л л е н 
куншӑн	к у н ш ӑ н 
курава	к у р а в а 
куравӗ	к у р а в ӗ 
курать	к у р а т ь 
курман	к у р м а н 
курсан	к у р с а н 
куртка	к у р т к а 
куртӑм	к у р т ӑ м 
курчӗҫ	к у р ч ӗ ҫ 
кушака	к у ш а к а 
куҫать	к у ҫ а т ь 
куҫман	к у ҫ м а н 
куҫсан	к у ҫ с а н 
кӑвайт	к ӑ в а й т 
кӑларӗ	к ӑ л а р ӗ 
кӑлтӑк	к ӑ л т ӑ к 
кӑмӑла	к ӑ м ӑ л а 
кӑмӑлӗ	к ӑ м ӑ л ӗ 
кӑнтӑр	к ӑ н т ӑ р 
кӑркӑс	к ӑ р к ӑ с 
кӑрлач	к ӑ р л а ч 
кӑткӑс	к ӑ т к ӑ с 
кӑштах	к ӑ ш т а х 
кӗнеке	к ӗ н е к е 
кӗнине	к ӗ н и н е 
кӗпепе	к ӗ п е п е 
кӗпере	к ӗ п е р е 
кӗперӗ	к ӗ п е р ӗ 
кӗреки	к ӗ р е к и 
кӗрешӳ	к ӗ р е ш ӳ 
кӗрсен	к ӗ р с е н 
кӗртес	к ӗ р т е с 
кӗртме	к ӗ р т м е 
кӗртнӗ	к ӗ р т н ӗ 
кӗртсе	к ӗ р т с е 
кӗртӗҫ	к ӗ р т ӗ ҫ 
кӗскен	к ӗ с к е н 
кӗтесӗ	к ӗ т е с ӗ 
кӗтмен	к ӗ т м е н 
кӳмест	к ӳ м е с т 
кӳнине	к ӳ н и н е 
ланине	л а н и н е 
лапама	л а п а м а 
лапамӗ	л а п а м ӗ 
лаптӑк	л а п т ӑ к 
ларать	л а р а т ь 
ларсан	л а р с а н 
лартас	л а р т а с 
лартма	л а р т м а 
лартни	л а р т н и 
лартнӑ	л а р т н ӑ 
лартӗҫ	л а р т ӗ ҫ 
ларура	л а р у р а 
ларӑва	л а р ӑ в а 
ларӑвӗ	л а р ӑ в ӗ 
лачака	л а ч а к а 
лейкоз	л е й к о з 
лексен	л е к с е н 
летчик	л е т ч и к 
леҫсен	л е ҫ с е н 
линине	л и н и н е 
литипе	л и т и п е 
логика	л о г и к а 
лучший	л у ч ш и й 
майсем	м а й с е м 
малтан	м а л т а н 
манахӗ	м а н а х ӗ 
манран	м а н р а н 
маншӑн	м а н ш ӑ н 
маньяк	м а н ь я к 
мартан	м а р т а н 
марччӗ	м а р ч ч ӗ 
маршне	м а р ш н е 
мастер	м а с т е р 
машина	м а ш и н а 
машини	м а ш и н и 
маҫтӑр	м а ҫ т ӑ р 
медале	м е д а л е 
медаль	м е д а л ь 
медалӗ	м е д а л ӗ 
мелӗпе	м е л ӗ п е 
метрлӑ	м е т р л ӑ 
митинг	м и т и н г 
музейӗ	м у з е й ӗ 
музыка	м у з ы к а 
мутаци	м у т а ц и 
мӑшӑрӗ	м ӑ ш ӑ р ӗ 
мӗнпур	м ӗ н п у р 
мӗншӗн	м ӗ н ш ӗ н 
настой	н а с т о й 
натуре	н а т у р е 
нацине	н а ц и н е 
наципе	н а ц и п е 
никама	н и к а м а 
нимсӗр	н и м с ӗ р 
нихҫан	н и х ҫ а н 
нихӑшӗ	н и х ӑ ш ӗ 
номерӗ	н о м е р ӗ 
ночном	н о ч н о м 
нумаях	н у м а я х 
нушана	н у ш а н а 
нушине	н у ш и н е 
облаҫӗ	о б л а ҫ ӗ 
обычно	о б ы ч н о 
одежде	о д е ж д е 
одного	о д н о г о 
онлайн	о н л а й н 
отелӗн	о т е л ӗ н 
пайӗпе	п а й ӗ п е 
паллах	п а л л а х 
пальто	п а л ь т о 
палӑка	п а л ӑ к а 
палӑкӗ	п а л ӑ к ӗ 
палӑрӗ	п а л ӑ р ӗ 
панине	п а н и н е 
парать	п а р а т ь 
паркне	п а р к н е 
паркра	п а р к р а 
партин	п а р т и н 
парфюм	п а р ф ю м 
парӑма	п а р ӑ м а 
патвар	п а т в а р 
патрах	п а т р а х 
паттӑр	п а т т ӑ р 
пахчин	п а х ч и н 
пашхан	п а ш х а н 
паянхи	п а я н х и 
первый	п е р в ы й 
пикета	п и к е т а 
пиллӗк	п и л л ӗ к 
пилӗпе	п и л ӗ п е 
пиртен	п и р т е н 
писать	п и с а т ь 
пичете	п и ч е т е 
пиччен	п и ч ч е н 
